,Tweet
0,"Domestic violence is a public health crisis in San Antonio—and it’s a shadow pandemic during COVID-19.
 
I’m joining @RepLloydDoggett, @DV_Commission &amp; @SAMetroHealth for the Domestic Violence Symposium with survivors to discuss legislative action.

WATCH: https://t.co/cvO0hxxBY3"
1,RT @RepLloydDoggett: Tune in today at noon for a legislative panel discussion hosted by @DV_Commission and @SAMetroHealth with my colleague…
2,"Thank you to everyone for speaking up — this is a victory for equality.

Your voice made a difference and social workers in Texas can no longer discriminate.

No matter who you are or who you love, you should be treated with dignity and respect. https://t.co/DUjwEBQy21"
3,RT @HispanicCaucus: It's disgraceful that Senate Republicans rammed through a Supreme Court nominee who supports taking health care away fr…
4,"San Antonio — it’s #VoteEarlyDay 

Join the millions of Texans who have already cast their ballot and make your plan to vote TODAY! 

You can #voteearly at any location. https://t.co/Khk2OjtiFq"
5,"RT @sarahdwire: NEW--&gt; “It’s going to take a look at the whole ecosystem: the studios, the talent agencies, the guilds, everyone,” caucus C…"
6,RT @LaurenCaruba: NEW: Some COVID patients w/ irreversible lung damage need double lung transplants. A transplant program in SA is gearing…
7,"RT @MikeDelMoro: Breaking: United States reports a single-day record of 77,640 new coronavirus cases Thursday, per NBC News. The previous h…"
8,"Children separated from their parents by the Trump admin are still not together, some are even missing — and those who committed these crimes against humanity must be held accountable.

I believe we need a human rights commission to determine what happened and inform real reform."
9,"Disturbing decision by @GovAbbott — social workers should not be allowed to discriminate against LGBTQ people and folks with disabilities.

Texas must protect people's health and ensure providers treat everyone with respect, especially during COVID-19. https://t.co/QHhyJfpBVe"
10,RT @kylegriffin1: The health department's top lawyer is warning in an internal memo that Trump's plan to give seniors $200 discount cards t…
11,RT @ElectProject: Texas now leads the country in the raw number of people who have voted early (nearly 3.9 million) and as a percentage of…
12,RT @NBCNews: Twitter on Sunday removed a tweet from one of President Trump's top Covid-19 advisers falsely claiming masks don't work to pre…
13,"RT @JoaquinCastrotx: So who’s voting TODAY? 🗳 

Polls are open in San Antonio!

You can vote at any early voting location in Bexar County.…"
14,I’m rooting for San Antonio’s @KendoTremendo on the @espn undercard of the #LomachenkoLopez fight. Who wins tonight?
15,"RT @NBCLatino: NEW: Ramped-up ICE arrests amid Covid outbreaks show 'irresponsible disregard,' Hispanic Caucus says

By @Nicolemarie_A 
wit…"
16,"RT @ONEinAmerica: Thank you, @JoaquinCastrotx, for highlighting the need for $20B for the global #COVID19 response in the next supplemental…"
17,"So who’s voting TODAY? 🗳 

Polls are open in San Antonio!

You can vote at any early voting location in Bexar County.

Make a plan to vote — and bring a friend or two! https://t.co/7ju08D5MkA"
18,"RT @sid_ravishankar: .@JoaquinCastrotx on the need for foreign assistance as part of our COVID-19 response:

“... it would also be a signal…"
19,"COVID-19 has burdened everyone, but especially older Americans.

I support @RepPeterDeFazio &amp; @RepJohnLarson's bill to increase Social Security benefits during this crisis — and future cost-of-living adjustments should reflect the true costs seniors face. https://t.co/AIhHc6FJI2"
20,"RT @ForeignPolicy: Donald Trump hasn’t just failed the American people through his coronavirus blunders. He’s also failed the world, Rep. J…"
21,"RT @ProfJSCarberry: @JoaquinCastrotx For folx who believe foreign aid shouldn’t be a priority: 

A) Covid isn’t “solved” until it’s solved…"
22,"RT @AgeOfZac: @DankoJesse @JoaquinCastrotx @JulianCastro When it comes to a pandemic, making sure other countries are healthy reduces domes…"
23,"Folks in San Antonio &amp; Texas need COVID-19 relief — and we believe that the United States should lead a global response to this pandemic.

Foreign assistance not only keeps people out of poverty and healthy, but also slows the spread of COVID-19 worldwide. https://t.co/oP8hsoJon4"
24,"RT @CBSNews: YouTube cracks down on QAnon conspiracy theory videos, citing real-world violence https://t.co/dBSe0Fey42"
25,RT @NBCLatino: Mexico says it has identified two women who may have been operated on without their consent while they were detained by U.S.…
26,"RT @NHLAgenda: Latinos face barriers to healthcare, especially with high numbers of uninsured, a lack of culturally and linguistically appr…"
27,"I joined @Ilhan and @RepRichmond in condemning the treatment of Cameroonian migrants and asylum seekers by @ICEgov.

Cameroonians fleeing political persecution should not be deported to a war zone, especially during a pandemic. https://t.co/2JYKXMUv22"
28,"RT @JulianCastro: This #IndigenousPeoplesDay, we must recognize the toll COVID-19 and the economic recession have taken on Native and Indig…"
29,@GashlerKrisy @ICEgov I’d be glad to try to help. Who should I reach out to?
30,RT @tornandra: BREAKING: Dramatic hospitalization increase as El Paso now has 313 hospitalizations -- coming within just 4 of the all-time…
31,"RT @KristenClarkeJD: Unbelievable. Mike Lee, who just tested positive for #COVID19 is participating in person at the #SCOTUS nomination hea…"
32,"On #NationalComingOutDay, I’m proud to celebrate LGBTQ+ Texans and Americans — and whether you’re out or not, we love and accept you.

We must ensure our communities and nation are free of discrimination and safe for everybody — no matter who you are or who you love."
33,RT @ABC: The World Bank has warned that 150 million people could fall into “extreme poverty” by the end of 2021 due to the coronavirus pand…
34,"Trump administration separated a mother from her newborn baby.

A woman seeking asylum gave birth alone and was then separated by @CBP from her baby in a San Antonio hospital.

I’ll keep working on this case until they’re united — families belong together. https://t.co/WoXta6ALMI"
35,I’m working on it — the baby is in a hospital in San Antonio. https://t.co/Y2Ao4cVY5y
36,RT @kylegriffin1: Breaking NYT: The CDC drafted a sweeping order last month requiring all passengers and employees to wear masks on all for…
37,"President Trump is putting his Supreme Court pick ahead of COVID-19 relief.

This approach means millions of Americans will not only unnecessarily suffer from unemployment, but also lose health care and protections for pre-existing conditions when Trump’s nominee guts the ACA. https://t.co/OTa4J5j4aW"
38,"Good news for non-filers who have not yet received their Economic Impact Payment (stimulus check): the @IRSnews has extended the deadline to register for your payment until November 21. 

Claim your payment here: https://t.co/pFMEqBGidv"
39,RT @HispanicCaucus: We’re wishing @RepCarbajal a swift recovery — our hearts go out to his family and everyone fighting COVID-19. https://t…
40,"RT @Carrasquillo: “Most of the country sees a president who denied that COVID was real or dangerous, and has now become exhibit A for both…"
41,"RT @RepSylviaGarcia: 210,000+ have DIED.

7.49+ million have gotten SICK.

12+ million still UNEMPLOYED.

Americans are hurting. What is he…"
42,".@Realdonaldtrump, We need the money in Texas, too. 16,000 people have died. Many are sick. Thousands of Texas businesses are barely hanging on. Schools need help. https://t.co/1TjHPqNaA5"
43,"Today, I’ll join @UTSA to mark Hispanic Heritage Month. #HHM 

This coronavirus crisis has demonstrated the resiliency of Latino communities — and how we’re essential to our nation’s future.

Tune in at 2pm CT https://t.co/68nwFCRDnm https://t.co/WcwD5rHVWQ"
44,"RT @JulianCastro: The officer who shot and killed Jonathan Price in Wolfe City, Texas has been charged with murder.

Jonathan was a communi…"
45,RT @UTSA: Join us today and hear from @JoaquinCastroTX about his vision for recovery from the pandemic and the need for more Latinos in lea…
46,"RT @HispanicCaucus: Don't miss this extraordinary portrait of immigrant rights leaders who exposed a for-profit detention center.
 
This in…"
47,"RT @JeronimoSaldana: In 2017, Ismael Lopez was shot to death in his home when Southhaven, Miss cops who had been dispatched to serve a warr…"
48,"RT @kylegriffin1: As the virus spread among the people closest to him, Trump asked one adviser not to disclose results of their own positiv…"
49,RT @ABlinken: This is devastating. President Trump acknowledges he has only JUST NOW  «really learned a lot about COVID » &amp; « gone to schoo…
50,"RT @TerriG210: @JoaquinCastrotx Yup, I went to a military hospital in April to get evaluated/tested because I showed symptoms after being e…"
51,RT @EveretMarsh: @JoaquinCastrotx @waltshaub I’ve met medical workers who couldn’t get a test. Nurses who ran high fevers.
52,"RT @DeLandslide2020: @JoaquinCastrotx @JeriLRyan 25 COVID POSITIVE
1 2 President,Melania Trump
3. Bill Stepien campaign mgr
4. Hope Hicks
5…"
53,"Checked himself into the hospital as a precautionary measure?

I hope he’s okay, but do you know how many people with COVID symptoms couldn’t even get tested at a hospital for the longest time (much less get checked in)? https://t.co/UmPn2ye9jV"
54,"RT @UniNoticias: 🔸 Joaquín Castro espera que el diagnóstico de Trump cambie su respuesta al covid.

➡️ El representante demócrata dice que…"
55,"RT @HispanicCaucus: VP Pence, Stephen Miller, and @DHS_Wolf — not @CDCgov doctors and scientists — pushed to use COVID-19 as an excuse to e…"
56,"RT @ChrisMurphyCT: The President is in the hospital with a deadly virus.

Three Senators (and counting) are sick.

But incredibly, McConnel…"
